ЗУБР ЗАХВАТ L-XL 10 пар в упаковке перчатки с одинарным текстурированным нитриловым обливом 11457-K10,764 ₽,1 отзыв,"8 мая доставит Ozon, продавец ""1й! ГИПЕР""",https://www.ozon.ru/product/zubr-zahvat-l-xl-10-par-v-upakovke-perchatki-s-odinarnym-teksturirovannym-nitrilovym-oblivom-355537115/?asb=9qF1lBb9oEk9yGnbQplyrGxRKlgbluy9SFp982Ug2Sk%253D&asb2=2k-R_-_4ZHeF-jeLEBfbvd6353M6WgN8EFpo5aA6u1snWfiR4PbgAGRt4FhljQ84
"Защитный комбинезон одноразовый, (СИЗ), Каспер, ламинированный. Размер L. На молнии, с капюшоном. Медицинский, белый. Спанбонд плотность 60гр. Костюм рабочий, для покраски, для дезинфекции.",430 ₽,12 отзывов,"13 мая доставит Ozon, продавец Absolut",https://www.ozon.ru/product/zashchitnyy-kombinezon-odnorazovyy-siz-kasper-laminirovannyy-razmer-l-na-molnii-s-509227849/?asb=PHkBhsuFDWJyqvOI5BebBLn29Gzw%252BAQqBJGbbg%252FFlaj8eqOufxSe8P6RquhliO09&asb2=qPiBPDzlWdfV_ZkN1Ljd4ALDSX304OW7tvDKACG2iIWJvwDdIkWpoUj-fNdiikn0rwV3yfMQRDuvAm-aAvE8V0COZm-N9ra-KnjHpf3xhJaWwOUxEHztGPmoxDtyfJ9KjoGlR-KbaGOdriZbh6sUoA
Противогаз ГП-5 размер 1,330 ₽,6 отзывов,"12 мая доставит Ozon, продавец ИП Айриян М.Г.",https://www.ozon.ru/product/protivogaz-gp-5-razmer-1-434683996/?asb=h%252B04j0LJHhk0PfU7tYsVUVSH4pUKkCTDKAMfcDAyc38%253D&asb2=U7qQPYdcPf5U-jNTAei-QJf5-jI9OqyUBn8pUfOTAi6oDHyEtCdVoCtjRf-Gtu3x
"STAYER HERCULES Желтые очки защитные открытого типа, поликарбонатная монолинза, мягкие двухкомпонентные дужки, серия PROFESSIONAL, 2-110435",596 ₽,3 отзыва,"9 мая доставит Ozon, продавец Магазин Зелёный",https://www.ozon.ru/product/stayer-hercules-zheltye-ochki-zashchitnye-otkrytogo-tipa-polikarbonatnaya-monolinza-myagkie-266318936/?asb=HUZwcT24zmb7YZmzM7w790gDOmSAUg7zBtKiDKhCGfY%253D&asb2=4exOqp0uKRP4gwirgPyZ4Vet6NZm3A7CkE61CqzUQfxGwvzJl8rC9wwmLC6QJRQp
"Защитный комбинезон одноразовый, (СИЗ), Каспер, ламинированный. Размер S. На молнии, с капюшоном. Медицинский, белый. Спанбонд плотность 60гр. Костюм рабочий, для покраски, для дезинфекции.",430 ₽,12 отзывов,"13 мая доставит Ozon, продавец Absolut",https://www.ozon.ru/product/zashchitnyy-kombinezon-odnorazovyy-siz-kasper-laminirovannyy-razmer-s-na-molnii-s-509215937/?asb=O0AoU4mJRPJyHmqLnk5auw88DP3ER6o2Owgjl8Rsy23FsyhJkcEZHHl%252BihUaTTTG&asb2=wDmdSXxcIWxLiUmwSTgAeLp3ikD3XJr6q3MsMa8C-oqG0TpLlKG4TXdmtT2Nd_0WzLCCZsBMnbdwH1S7dFa4YOoBMxXeGJk8B_lJ_YlWaUMdE5pQW0XNCPmfqnIigZBts-ztNPLH0oqKwZVTphmdoQ
"Респиратор Guard Gauze mask KN 95, 5 шт (по 2 шт в упаковке)",750 ₽,3 отзыва,"8 мая доставит Ozon, продавец ЭКООРГАНИКА",https://www.ozon.ru/product/respirator-guard-gauze-mask-kn-95-5-sht-po-2-sht-v-upakovke-468406441/?asb=VgYur4KN92K%252Bvf6etjXJyWgIg4ygnE8%252Bf43C2Lh6RK0%253D&asb2=TMHNQFCVWmZ8SYbLbKs6enVhRg_uGpoXDRSbFwNoMvl7Ivwv3aaN6IpiJ6IO6wMj
3M Очки,400 ₽,1 отзыв,"12 мая доставит Ozon, продавец автоколор",https://www.ozon.ru/product/3m-ochki-314803528/?asb=y6vyjja34VPXCYMA72xtoGPGdMXNV2OQgPyo5PCRtWY%253D&asb2=Dg1eegWXHoklnszGEIgWcju6rf6DNhw80RGAdBF23-N9LWKVKG5xe0a5U-LkkNz_
Комбинезон одноразовый нестерильный 25 гр/м / СИЗ / Каспер / Одноразый костюм / Спанбонд,361 ₽,16 отзывов,"14 мая доставит Ozon, продавец Sled",https://www.ozon.ru/product/kombinezon-odnorazovyy-nesterilnyy-25-gr-m-siz-kasper-odnorazyy-kostyum-spanbond-466234238/?asb=yH88dZynZBlf2hXWqPmkHyAYlWTZlIPmyWRy3RFGhyM%253D&asb2=bGw2kSqEngeSuq7xPWzH8bs709iq1YJBSh2T0uzSbWWI3xgyNlJH9h3PxWVub8pn
Комбинезон одноразовый нестерильный 25 гр/м / СИЗ / Каспер / Одноразый костюм / Спанбонд,310 ₽,16 отзывов,"14 мая доставит Ozon, продавец Sled",https://www.ozon.ru/product/kombinezon-odnorazovyy-nesterilnyy-25-gr-m-siz-kasper-odnorazyy-kostyum-spanbond-466238752/?asb=%252BqdKYgLkc3LJL6blwcPPRi8oG915KDXYMtX8otkYMm4%253D&asb2=odOBmt1DIYb9zbfzbXujwYsnL2j2QUM6vMV-yTx-IsZCnE8bFMY2YStpo-jXYTnk
Наколенники защитные с пластиковыми чашками Matrix 89410,590 ₽,1 отзыв,"8 мая доставит Ozon, продавец Орион",https://www.ozon.ru/product/nakolenniki-zashchitnye-89410-311199177/?asb=PPNqE0WEQcX8fVpOrjTxmUA40YsSmm3GwqqEoqFahhc%253D&asb2=g5VAb7cQVd2tdgifXfQzBdRSN6kHiMbJzTU-PrfJx5WglUIhIQSBUuKgb6nFzjQS
