"Сурими лапша с креветкой Меридиан, 130 г",179 ₽,4 отзыва,null,https://www.ozon.ru/product/surimi-lapsha-s-krevetkoy-meridian-130-g-488051512/?asb=EVbZ5GDYZ%252FHHEKSYfBHm66HGohHIS8exm7MhuDd%252BzkE%253D&asb2=OrC3V2cj98ovmVn6s2X9G-k_IjemmefUIeB6r2jzoE8EER84eM3ZWsM48Nn96QgC
"Сельдь Русское Море бочковая слабосолёная филе в масле, 230г",129 ₽,1 отзыв,null,https://www.ozon.ru/product/seld-russkoe-more-bochkovaya-slabosolenaya-file-v-masle-230g-469920040/?asb=rvML50wqE70I8Lq%252Bv2LFhtruqqcSn3WQO1ETv6Kppue69xS1gI0WlEgg8iXwvaZz&asb2=_3LYjKW-N1LbAog3IkRE0l2URdQ-YHzqbq7X6xGkBFUStMWPKXPIctzEweCgVRWirhirvJ5TkUDtZkAybgQzuFPdubyg3NVuvYie1I6LuCqnmcSFpBA4B5Z3Yqzz1-ERZHmMspYPlWq06Xa265ZzCA
"Кальмар в рассоле Меридиан, соломка, 180 г",198 ₽,24 отзыва,null,https://www.ozon.ru/product/moreprodukty-ohlazhdennye-meridian-kalmar-v-rassole-180-g-164861564/?asb=1oOQj9J%252FK1oXeKljv6nG%252BNpqOtFqpLZVxyos2ByB17k%253D&asb2=qAyeWFL0665_AaQBsZH2hm75mMnScHlq_z0yOg-ZmUi5ujqu7hEhtbhqMKB0WSPy
Сельдь Матиас филе в масле оригинал 250 г,186 ₽,4 отзыва,null,https://www.ozon.ru/product/seld-matias-file-v-masle-original-250-g-469919992/?asb=6Qk9Dgj0BoEZaIFFXnUJy%252FIP6VfeKKtFwHihmHi%252BuZlhg%252BxoS3ARzVgFqY%252FFhibj&asb2=7F1WGO83P362K9lyReeG0GObBLnfvNENLMS4g8Kur7RSg3_d8joXzo4kqxKI0TMCS9LQB5Ppv962vpnECZoo2nVs-4lWlHvt0i5nVN_sT8DTo0r_k3AcA6NcRwf1b6fmCNgTj997RC3rRvgXlkjZ8Q
Крабовые палочки Русское море салатные охлажденные 200 г,115 ₽,1 отзыв,null,https://www.ozon.ru/product/krabovye-palochki-russkoe-more-salatnye-ohlazhdennye-200-g-469920227/?asb=jGJ9tDSG064DApv6t5%252B85jWCPxef6NamVH290IFHfJM%253D&asb2=wbd-kSsEmbOhA8lknrG_wr_WQmChwSbK9epnAAZxTNZgHwIBTtpNNLSzpoqXuB_O
"Морской микс в масле Меридиан, 180 г",209 ₽,4 отзыва,null,https://www.ozon.ru/product/morskoy-miks-v-masle-meridian-180-g-488051929/?asb=LtWINgvC4eW%252FIJoFxXFFDft%252Frehui2DS3AQongidJrY%253D&asb2=avVeN7Dlqu2h9g36DAu7SwTm6Qsa7wT5haQiJkEKfL0Qd2d7t8-o00KUdWBSLaNn
"Морепродукты охлажденные Creme Le Mare Креветка рубленая, в йогуртовом соусе, 165 г",167 ₽,19 отзывов,null,https://www.ozon.ru/product/moreprodukty-ohlazhdennye-creme-le-mare-krevetka-rublenaya-v-yogurtovom-souse-165-g-160852985/?asb=eEA9aNrpKDTeo%252B1ay2liRTyzN5QCFXCS82i03xhF%252FvU%253D&asb2=W7jOEdacazqGyhNSNRo8QIgPuJC0Hys8xAhv48DcOFd6UhxbEO6AlW277JPxodkt
"Паста с кальмаром, с чесноком для бутербродов Меридиан, 140 г",149 ₽,1 отзыв,null,https://www.ozon.ru/product/pasta-s-kalmarom-s-chesnokom-dlya-buterbrodov-meridian-140-g-488051435/?asb=YFy9wBEYYi%252BH8rFgDMtpxWflx5rSpKwfnvyJ0V6wNSg%253D&asb2=Q9ZqJUTPbFHmRQy7M0aLH8FKjkOT0j17ywWOzNVAHNPHUhLTJXT4cTVd0S1fJpE3
"Креветки в заливке Санта Бремор, 180 г",219 ₽,5 отзывов,null,https://www.ozon.ru/product/krevetki-v-zalivke-santa-bremor-180-g-307880119/?asb=%252F77HlP8%252BI%252B8QAL2TrDFcGfYw%252BImaV5yqGJ8A56XZaas%253D&asb2=M70ojjbyWvoPVpzLlvRdpBId7xywyeN-FAUkuxNiYQzn4daRVIl-YLFeSu9EL3_r
"Салат из морской капусты с сельдереем и яблоком Be Fit Меридиан, 200 г",129 ₽,3 отзыва,null,https://www.ozon.ru/product/salat-iz-morskoy-kapusty-s-seldereem-i-yablokom-be-fit-meridian-200-g-490178629/?asb=dnIliU%252FqzIRhu63%252Fwj7Ko6m%252B%252B%252Fm0ZgD8oZcwae5rA1M%253D&asb2=M_kPRmYsP5PBZdLxCoXlqNn849c57GvHMU1F-gT3aT4m85WqFyzafC36eiOB3knt
"Морепродукты Санта Бремор, Мидии в масле, 150 г",149 ₽,1 отзыв,null,https://www.ozon.ru/product/moreprodukty-santa-bremor-midii-v-masle-150-g-508854176/?asb=HymD1frEDMGhCkr%252Fqc4vn4ZSEMrcCECyOzN4Nr%252BLtYFrDjEF9MzOVTW9i%252FcSgMZK&asb2=TRdP0l7PtbqPZTLXnHRFUQvFX-KNEXknzRfkfXXXDjpsj1oQ7Gmt_ENhbBMY19xD6NHtEuBkwP2Zrz5_KUwQGSGhq_Uzu1tGMf8vGnPI8WK4VAaAQSJmE8NaGAZ33CfCwP9Cm2PHgA_H80ar8XMjgQ
"Сурими лапша с устрицей Меридиан, 130 г",239 ₽,1 отзыв,null,https://www.ozon.ru/product/surimi-lapsha-s-ustritsey-meridian-130-g-488051542/?asb=Qtab4hGOo1faFcc4XuJKdi7R7TImboqdQR%252FtfyLSITM%253D&asb2=kjkRJjfPhjUdoOpS45jKHr-qOUMYK3c-11l5kECDla9H45FDVuFdeTLtX_Mj02_I
Морской коктейль Санта Бремор Классик в заливке 180 г,151 ₽,1 отзыв,null,https://www.ozon.ru/product/morskoy-kokteyl-santa-bremor-klassik-v-zalivke-180-g-510498582/?asb=8CcpuOjI4K3mDNLhNU5fKDd5C%252B5VI9QPQrb3rNWiy2KFIIAZiFjtnKaR54v5a%252BFe&asb2=fmmdhsJlPyTviapHNnhthwCX2JY905p_2e9LxbBGHU_w_h8eNibUBqo84zXyXjEESIX7MWPtVyo5aQ3-5ikmae5fBHYJ696cPllvgI8S9GPa_GhQmXHBbD4rMAdjIsMhezXYdD2mEhfnpG6V2MR7bA
"Салат из морской капусты с яблоком и грецкими орехами Be Fit Меридиан, 200 г",129 ₽,3 отзыва,null,https://www.ozon.ru/product/salat-iz-morskoy-kapusty-s-yablokom-i-gretskimi-orehami-be-fit-meridian-200-g-490178685/?asb=Z%252F36UH8jWbP8NYnt9dSwTFRMyeGSnARHVizRWbIkM1Q%253D&asb2=UD2zWbO0sLdtKvgzRaOQR8-LFifqw5vhA9VKEFPrRzU5ul7U2hkJUSz3duLRxeUS
