"Рёбрышки молодого барашка Честная Ферма, 0,5-0,8 кг",375 ₽,1 отзыв,null,https://www.ozon.ru/product/rebryshki-molodogo-barashka-chestnaya-ferma-0-5-0-8-kg-563457297/?asb=LT%252Bv3hsbNcrJmtsQhD7Bbe23f2d9N7s7rlZRl3mikas%253D&asb2=isikwZ_5J4sMfepvAeO14c69Lx0Q7T3I-JA3I652OQzjIMDlmPVoCZjfRz_-Jkn_
"Лопатка ягненка на кости Лучезар, охлажденная, 0,9 кг",928 ₽,162 отзыва,null,https://www.ozon.ru/product/lopatka-yagnenka-na-kosti-luchezar-ohlazhdennaya-0-9-kg-206932968/?asb=LC4aZcAlzTexzu6%252B3OxfnMN%252FaXfVcXYatJYJYV5lZw8%253D&asb2=bfJ5RaN_uYXK21t8MuInp4c85wXmwGFJOja0T9I2xXC1Ny4P6ub5B-Fa89-xzmMm&ectx=1&miniapp=supermarket
"Окорок ягненка Лучезар, охлажденный, 0,9 кг",980 ₽,181 отзыв,null,https://www.ozon.ru/product/okorok-yagnenka-luchezar-ohlazhdennyy-0-9-kg-206932970/?asb=G1lpchl%252FdSs%252BfuUwoxD8HRFFb6ABSbBFT1QABwIUtRw%253D&asb2=XrEeSXOkpZOlFsQV7RcTDHEaNXyzUHUkmyvGXu56Jcdeg27lI7wdLNmcOjTVUs9z&ectx=1&miniapp=supermarket
"Окорок ягненка Лучезар, охлажденный, 0,7 кг",735 ₽,181 отзыв,null,https://www.ozon.ru/product/okorok-yagnenka-luchezar-ohlazhdennyy-0-7-kg-198064246/?asb=GjJqAUzgJUGJbD7FMc7WafGVROIDxb9ZMHsTW9J7wY0%253D&asb2=5orDzHWbO8cYnRkUH5vpZvrS9-JJSBtAw0qTxX8mEUvHfT8RlQuHT7T-VLxhR223
"Баранина для плова Эколь, охлажденная, 400 г",289 ₽,65 отзывов,null,https://www.ozon.ru/product/baranina-dlya-plova-ekol-ohlazhdennaya-400-g-371753129/?asb=aBatmMEgNS6SctZ6YDeTIzX0Csr%252F35wNFWu%252BxCNMOcI%253D&asb2=-80BirTOdPIJ15JebKwkAUSmkjrwavJfG_RXTvjovMGRlwUXrvw5YeDq_rWYXwma
"Фарш из баранины Эколь, охлажденный, 400 г",269 ₽,43 отзыва,null,https://www.ozon.ru/product/farsh-iz-baraniny-ekol-ohlazhdennyy-400-g-371753137/?asb=VS6xX2OEeuI3Qz0MaedTS%252F1mIANNsgzAgefBm0PinP4%253D&asb2=rq7XQhkAhY7OsgGDnvbbYUxCALt4uc36nlbzRe6HcqdSjCDJrHz5VbcDhkO9mV7u
"Гуляш из баранины Эколь, охлажденный, 400 г",467 ₽,31 отзыв,null,https://www.ozon.ru/product/gulyash-iz-baraniny-ekol-ohlazhdennyy-400-g-371753132/?asb=Fl6O5yzNgpG3iQ1lv9HHoF15bjlGd%252FeZTAxeSIgwJVU%253D&asb2=2abeHyiFYKs0BLGnM8gywE5YemOS8bwccj1AW3SpIhWT17KD6eFk2hN462oRZcPD
