"Корюшка азиатская холодного копчения Олива, 200 г",309 ₽,18 отзывов,null,https://www.ozon.ru/product/koryushka-aziatskaya-holodnogo-kopcheniya-oliva-200-g-407696332/?asb=HSHcbtODEF7TbrYaIB1Mk23TOpRgV8cVAcPLPZVM0Hw%253D&asb2=ZtsghSrBF1kewrw6vmXTGvzY7KM73szy4Gwm4WVsSFnnkKlPEYM3gzDRc_Qqc4Oi&ectx=1&miniapp=supermarket
"Форель слабосоленая Меридиан, филе-кусок, 250 г",932 ₽,50 отзывов,null,https://www.ozon.ru/product/solenaya-ryba-meridian-forel-file-kusok-slabosolenaya-250-g-164861591/?asb=BDqLmb8z77H9YxoiOtOJQzH6e8p%252BLLlKzrf5aBg%252Byl0%253D&asb2=N72gWJ0BZEntdyP_t_lwTwlHcUz-HQBUYp4otsUpwESDDy7mj49xQTcn72D1d047&ectx=1&miniapp=supermarket
"Форель слабосоленая замороженная Agama, филе-кусок, 200 г",563 ₽,108 отзывов,null,https://www.ozon.ru/product/agama-forel-slabosolenaya-file-s-kozhey-zamorozhennoe-200-g-143377987/?asb=EaJrRpInY8vb5%252FA1eFQ9KmsGRRjea2cH61%252FYU%252BQ6G%252BI%253D&asb2=QD0DyAZedyNZm6hu37SNPr3OaP5aTJetKzWbh7EU0s0G4Lx2IZCZUksGiuFQ7J0P&ectx=1&miniapp=supermarket
"Филе сельди в масле К картошке VICI, 240 г",183 ₽,69 отзывов,null,https://www.ozon.ru/product/file-seldi-v-masle-k-kartoshke-vici-240-g-397204796/?asb=lBPkMB5MOTu0emavtBI4l4X5O%252Blg%252FgwLjA77tQrJFfs%253D&asb2=cSAulYa-248MkvZuLJzGTlWYW24WVNQQHSnjh1zWYuzsKy5tvIDVLHmOiqIm86Hs&ectx=1&miniapp=supermarket
"Ассорти холодного копчения: горбуша, скумбрия Олива, кусочки, 250 г",259 ₽,17 отзывов,null,https://www.ozon.ru/product/assorti-holodnogo-kopcheniya-gorbusha-skumbriya-oliva-kusochki-250-g-407696336/?asb=2VNa5WqiDNzCzFZYOCKcVc9cm0rxDTFurkB67SPO6ws%253D&asb2=PgkBNkBM3dxHMUyt3bmJWtBQYptCrhb-KBwQ61w91Z9oIeK5v0hQnLFibynMsHTY&ectx=1&miniapp=supermarket
"Сельдь филе-кусочки в масле К картошке VICI, 150 г",116 ₽,121 отзыв,null,https://www.ozon.ru/product/seld-file-kusochki-v-masle-k-kartoshke-vici-150-g-397204801/?asb=71R60Q6W6mK5SMfEZFs%252BIFzc%252Bocq7hSDb6vw77v1f1c%253D&asb2=AXZMt2Jjd9614j6I9D0TeXWsH824doCR4TH3SWQCSkwR-A6Dm5pPAyrZRbLt6Maa&ectx=1&miniapp=supermarket
"Форель слабосоленая с укропом, замороженная, филе-слайсы, 200 г",359 ₽,147 отзывов,null,https://www.ozon.ru/product/forel-slabosolenaya-s-ukropom-zamorozhennaya-file-slaysy-200-g-324566769/?asb=CL4mDPmxoxGXNr%252BSKtxYZZCYl%252FuvKs0sqELUdzqhbsM%253D&asb2=8tBXMSoRVZns3kGElfZO34Olwz5YS3NN2QDaZ-1nI3T2mIvYhuXgzMoa7GqEB2NV&ectx=1&miniapp=supermarket
"Форель подкопченная Русское море, филе-кусок, 200 г",789 ₽,154 отзыва,null,https://www.ozon.ru/product/kopchenaya-ryba-russkoe-more-forel-podkopchennaya-file-kusok-200-g-159850684/?asb=Xnr3XkqKL6s04%252Fc3EZy8ywRgVXSb2CbY9FAKVACuuCg%253D&asb2=dx6fsWDJX_kDF430_4dxrfMqaedLLLHtUqHDTn5ZQg5lVxf4kjxSHq_YgJVVVIkq&ectx=1&miniapp=supermarket
"Угорь жареный под соусом Моремания, 200 г",524 ₽,117 отзывов,null,https://www.ozon.ru/product/ugor-zharenyy-pod-sousom-moremaniya-200-g-280339661/?asb=kJKKZMuSefOgY7txFwvI43UXkokoBV9hsFdeKr1vXlo%253D&asb2=mGDLdhL1VefL15dmZYexIOt8JjZ--EP5ygFoiQzbPqvWSomkPKJxtrdLHm_ebxBo&ectx=1&miniapp=supermarket
"Форель холодного копчения Своя рыбка, ломтики, 120 г",379 ₽,138 отзывов,null,https://www.ozon.ru/product/forel-svoya-rybka-holodnogo-kopcheniya-lomtiki-120-g-162181385/?asb=8UBzLlMxr9BBAzUEo57vF0a9KKGd5foJEQ41HB6SqF0%253D&asb2=htbvx4g4yA45TXhMuiToQwuT5BPEvQxBGvzNy35f5sapQm-VaYyGnhWD0Oj7oWtZ&ectx=1&miniapp=supermarket
"Семга слабосоленая Меридиан, филе-кусок, 250 г",932 ₽,48 отзывов,null,https://www.ozon.ru/product/solenaya-ryba-meridian-semga-file-kusok-slabosolenaya-250-g-164861589/?asb=rXK5lAngwxZ4ccENo4F4KkAKnDWU%252Fq9EsqeHLjrApVs%253D&asb2=nzfafDym6UA3toNZFsm-fbFzsaGZuD-81DroVPWPuzL-vJmWEdBo1SnhInERA9Rm&ectx=1&miniapp=supermarket
"Тунец подкопченный, замороженный, филе-слайсы, 200 г",299 ₽,152 отзыва,null,https://www.ozon.ru/product/tunets-podkopchennyy-zamorozhennyy-file-slaysy-200-g-324557522/?asb=yVdaKCTcoD%252Bt6hRayocLuDnh9BEwmseygSMgdypHvLI%253D&asb2=i6IStnAtTjoXuzeNTT3Qh3HL4YdcfCKlZQe3DNvhjmsrG5aWuQdUVOHmI45xPy0v&ectx=1&miniapp=supermarket
